x,y,tile_cbf_hz,tile_peak_amp,tile_var,tile_zcr,tile_cbp_sine_score,tile_cbp_amp,video,label,fps,class
0,0,20.15625,6.688305661228728,0.018639306083231538,0.615686274509804,-0.13359630966074165,0.13652584401215595,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
32,0,20.15625,7.5903761139054815,0.037904792495187925,0.592156862745098,-0.0904173074602804,0.19469153164734188,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
64,0,16.40625,6.156003959644868,0.033139214133902375,0.5843137254901961,-0.1754520937339895,0.18204179227282502,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
96,0,20.15625,7.683683032488652,0.03631783666133226,0.5843137254901961,-0.1693639090427969,0.19057239218032673,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
128,0,20.15625,7.531837432194528,0.034308131897903237,0.5607843137254902,-0.12720200838075538,0.18522454453420378,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
160,0,25.78125,6.398599111026463,0.031561445327500895,0.6,-0.019504921878231066,0.17765541175967844,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
192,0,18.515625,7.093205173550745,0.03466657903223405,0.5764705882352941,-0.20973233592113813,0.18618963191390128,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
224,0,25.78125,6.997681009956737,0.029650055053629634,0.5529411764705883,0.017696107965425752,0.17219191343855156,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
256,0,20.15625,8.527547705302723,0.0373976149931884,0.5843137254901961,-0.08636385086447759,0.19338462967151346,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
288,0,12.421875,6.754033153190463,0.029216859028197123,0.5450980392156862,0.19828027573261992,0.1709293977880842,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
320,0,3.28125,7.201838471398354,0.036853835663622804,0.5803921568627451,0.1358316658468166,0.19197352854917993,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
352,0,29.296875,8.709906138274812,0.04101444839262954,0.5686274509803921,0.007799339040109348,0.20252024193307083,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
384,0,20.15625,7.176737183865679,0.029714430233907928,0.5686274509803921,-0.11914694452618577,0.17237874066690453,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
416,0,20.15625,7.427735809838378,0.043691452405890625,0.6235294117647059,-0.023790246685853778,0.20902500425999426,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
448,0,29.296875,6.871422283656003,0.040812668480286,0.5372549019607843,0.052496251691618485,0.20202145549492015,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
480,0,17.8125,7.8014509516887625,0.03362209973658439,0.6235294117647059,0.23427125032036392,0.18336329986282532,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
0,32,25.078125,14.94665947602476,0.09978539003374612,0.6784313725490196,-0.07248933098549706,0.31588825561224354,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
32,32,25.078125,13.716292260400175,0.10054677832888642,0.6627450980392157,-0.07571359492885822,0.31709111991490146,inline-supplementary-material-2.avi,PCD_ZMYND10,60.0,PCD
